id;label;function;year;place
1;Samuel van der Lanen & Maria Magdalena Meermans;Bruidspaar;1691;
2;Reinier Leers;Drukker;;Hoorn
3;Pieter Rabus;Auteur;;
4;Jacobus Willemsen & Elizabeth Verwout Noiret;Bruidspaar;1738;
5;Petrus Dathenus;Auteur, Drukker;;Amsterdam
6;Pieter de La Ruë;Auteur;;
7;Johannes Plevier;Auteur;;
8;Isaac Schorer;Auteur;;
9;Nicolaus Barkey;Auteur;;
10;Johannes Nicolaas Treytel;Auteur;;
11;Johannes Medhurst;Auteur;;
12;Jakobus Andriessen de Waal;Auteur;;
13;Hendrik Ackervelt;Auteur;;
14;Gerhard Step;Auteur;;
15;Johan Schorer & Petronella Maria de Beaufort;Bruidspaar;1744;
16;David Fiers Kappeine;Auteur;;
17;Johan Steengracht;Auteur;;
18;Lucas Frederik Schorer;Auteur;;
19;Pieter Koolaert & Elizabeth Hoofman;Bruidspaar;1693;
20;Lescailje;Drukker;;
21;Katharina Lescailje;Auteur;;
22;David van Hoogstraten;Auteur;;
23;Joan Pluimer;Auteur;;
24;Hermannus Angelkot;Auteur;;
25;Jacob Storm;Auteur;;
26;Abraham Bógaert;Auteur;;
27;Herman Lufneu & Anna Amsincq;Bruidspaar;1702;
28;Barent Bos;Drukker;;Wesel
29;Willem Rabus;Auteur;;
30;Gerhart Franken & Katharyne Adelheit Moonen;Bruidspaar;1702;
31;Arnoldus Curtenius;Drukker;;Amsterdam
32;Petrus Francius;Auteur;;
33;Janus Broukhusius;Auteur;;
34;H. van Wullen;Auteur;;
35;J. Pastorius;Auteur;;
36;Lucas Rotgans;Auteur;;
37;François Halma;Auteur, Drukker;;
38;L. van Olst;Auteur;;
39;Arnold Moonen;Auteur;;
40;Pieter Gys (1678-1759) & Maria van den Bergh;Bruidspaar;1710;
41;Govard Bidloo;Auteur;;
42;Hendrik Snakenburg;Auteur;;
43;Hendrik II Bruyn & Catharina Smit;Bruidspaar;1753;
44;Hendrik II Bruyn;Drukker;;Middelburg
45;Izaak Bruyn;Auteur;;
46;Johannes Bruyn;Auteur;;
47;Arnoldus Bruyn;Auteur;;
48;J.H. Konstman;Auteur;;
49;Lammert Bakker;Auteur;;
50;Arnold Willis & Alida Gramingh;Bruidspaar;1729;
51;Arnold Willis;Auteur, Drukker;;Zaandam
52;Frans Greenwood;Auteur;;
53;Kornelis van Koeverden;Auteur;;
54;Daniel van Damme;Auteur, Drukker;;
55;Nikolaes Versteeg;Auteur;;
56;Bernardus van Gerrevink;Auteur, Drukker;;
57;Wessel van Balen & Maria Scholten;Bruidspaar;1715;
58;Hendrik van de Gaete;Auteur, Drukker;;Amsterdam
59;Filips Piek;Auteur;;
60;Abraham de West;Auteur;;
61;B.S.;Auteur;;
62;Pieter Langendyk;Auteur;;
63;de J.E.L.;Auteur;;
64;Marten Blöte & Elisabeth de Bruyn;Bruidspaar;1737;
65;De Broen;Drukker;;Amsterdam
66;P. Blöte;Auteur;;
67;J. de (Jr) Bruyn;Auteur;;
68;Jacobus de Laater;Auteur;;
69;Gerred de II Broen;Auteur;;
70;Lambert van den Broek;Auteur;;
71;Jacob Alewyn & Margaretha Helena Graafland;Bruidspaar;1740;
72;Johannes Wilhelmus van Sonten & Maria Boeken;Bruidspaar;1703;
73;Bruyn;Drukker;;Amsterdam
74;Daniël Adrianus Beukelaar & Anna Maria Kerkhoven;Bruidspaar;1746;
75;Theodorus Crajenschot;Drukker;;Rotterdam
76;Jan Willem Kerkhoven;Auteur;;
77;Rudolph Marcus;Auteur;;
78;Abraham de Haen (1707-1748);Auteur, Drukker;;
79;Egbert Kleyn;Auteur;;
80;Jan de Vries;Auteur;;
81;H.G. (Jr);Auteur;;
82;E.J. van Arrewyne;Auteur;;
83;Joannes Bollard;Auteur;;
84;Jacobus Boutkan & Hester van der Kindert;Bruidspaar;1712;
85;Goeree;Drukker;;Rotterdam
86;Jan Baptista Wellekens;Auteur;;
87;Jakob Zeeus;Auteur;;
88;A. van Sleyden;Auteur;;
89;Abraham Peyster;Auteur;;
90;Pieter van Schagen & Maria Couck;Bruidspaar;1721;
91;Joannes Oosterwyk;Auteur, Drukker;;Amsterdam
92;Willem van Ranouw;Auteur;;
93;Andreas Blankert & Constantia van Schooneveld;Bruidspaar;1703;
94;Boeteman;Drukker;;
95;Willem van der Hoeven;Auteur;;
96;Christoffel Castricum & Anna Beekman;Bruidspaar;1721;
97;Andries (wed) Castricum;Drukker;;Rotterdam
98;George Wetstein & Anna Otto;Bruidspaar;1723;
99;Wetstein;Drukker;;Amsterdam
100;Isaac Verburg;Auteur;;
101;Claas Bruin;Auteur;;
102;Gijsbert Tysens;Auteur;;
103;Joannes Haverkamp;Auteur;;
104;François Jansz van Hoogstraten;Auteur;;
105;J. Schoonhoven;Auteur;;
106;v.D.;Auteur;;
107;J.V.A.;Auteur;;
108;Willem van Swaanenburg;Auteur;;
109;Frederik Hendrik Wetstein;Auteur;;
110;Willem Hendrik Wetstein;Auteur;;
111;Jan (Jr) Wenkink & Belia van Nuld;Bruidspaar;1727;
112;Willem Barents;Auteur, Drukker;;
113;Paulus Jansz Wenkink;Auteur;;
114;P.R.D.;Auteur;;
115;Jan Veen Rentinck & Maria Mol;Bruidspaar;1731;
116;Gerrit Bouman;Auteur, Drukker;;Amsterdam
117;Arnout Rentink;Auteur;;
118;Albertus van Westerhof;Auteur;;
119;Abraham Titsingh;Auteur;;
120;Johannes Meyer;Auteur;;
121;G. de Jong;Auteur;;
122;Adriaan de Kramer;Auteur;;
123;Isaac Nylant & Johanna de Veer;Bruidspaar;1725;
124;Abraham de Veer;Auteur;;
125;Isaac Kintsius;Auteur;;
126;Pieter de Veer;Auteur;;
127;Herkules Bouman;Auteur;;
128;Michiel Hals & Catharina Scholten;Bruidspaar;1727;
129;Hendrik Bosch;Auteur, Drukker;;Rotterdam
130;Georgius van Zonhoven;Auteur;;
131;Lucas Bardon & Anna Groenewoud;Bruidspaar;1725;
132;Cornelis Izaaksz van den Bogaerd & Christina Willink;Bruidspaar;1720;
133;A. Izaaksz van den Bogaerd;Auteur;;
134;Abraham Buyssant & Catharina Des Amorie;Bruidspaar;1720;
135;Cornelius van Arckel;Auteur;;
136;Jacobus Boutkan;Auteur;;
137;Govert van Mater;Auteur;;
138;Christiaan van der Meulen & Geertruid Des Amorie;Bruidspaar;1720;
